itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
kmeepah,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
migin,7,igin,15,主事焦點,,,False
mhebin,2,hebin,3,,動詞,,False
mpkrading,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
priqun,2,iriq,14,受事焦點,,,False
rahur,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sntero,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nganguc,70,nganguc,70,,名詞,,False
mdurun,2,durun,18,受事焦點,,,False
taype,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knddesi,1,adis,228,受事焦點,,,False
dhenu,16,dhenu,272,,多重詞性,denu,False
bushiml,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tmquli,1,quli,3,主事焦點,,,False
lixan,1,alix,95,處所焦點,,laxan,False
muyak,5,buyak,13,主事焦點,,,False
tgsebu,2,tgsebu,2,,動詞,,False
mcherus,4,mcherus,4,,名詞,,False
pqquri,2,quri,124,受事焦點,,pquri,False
mhuangmeiyul,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sgumuc,1,sgumuc,1,,名詞,,False
pqduriq,4,qduriq,33,零焦點標記,,,False
pledax,3,ledax,24,零焦點標記,,,False
baang,4,baang,21,,多重詞性,,False
mridih,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knpiya,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smdangi,2,dangi,47,參考焦點,,,False
smberih,3,berih,46,主事焦點,,,False
jjyuichigacul,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pdaus,2,daus,20,,名詞,,False
jjyunansay,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gmukan,3,gemuk,21,主事焦點,,,False
hadun,5,haduc,20,受事焦點,,,False
gikis,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sqrugun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
raipizweya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lubuy,23,lubuy,25,,名詞,,False
pnslutuc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sryuxun,1,riyux,52,受事焦點,,,False
kndusan,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pheyun,3,pahu,34,受事焦點,,pheun,False
mrmari,2,krmari,2,主事焦點,,,False
hlmaan,4,hlama,68,處所焦點,,,False
gelu,10,gelu,11,,名詞,,False
tleelu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ttara,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
cu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rqebux,9,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pengki,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tyawca,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
shilo,4,hilo,24,參考焦點,,,False
naycuwe,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kiicuw,1,icuw,52,零焦點標記,,kiicu,False
dara,31,dara2,47,,多重詞性,,True
inswaci,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
blexun,1,elux,7,受事焦點,,,False
puyasan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kmaguh,2,kaguh,6,主事焦點,,,False
rmabanng,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tdadal,2,dadal,26,零焦點標記,,tdadan,False
puyaq,4,puyaq,4,,名詞,,False
miisu,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pneniq,2,eniq,675,受事焦點,,,False
saadux,19,saadux,24,,其它,sadux,False
niciyobi,3,niciyobi,3,,名詞,,False
yocung,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ptahu,5,ptahu,25,,動詞,,False
smbarah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mnugexal,2,gexal,6,主事焦點,,,False
sapu,54,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pldaxun,1,ledax,24,受事焦點,,,False
hmnurah,1,hurah,14,名詞性標記,,,False
ssdiyan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qqdeun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tnugo,3,tnugo,17,,其它,tugiyo; to,False
boxing,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sloyun,1,-silo-,9,受事焦點,,,False
